dataset,trees,step,label,kernel,hdr_p50_us,hdr_mean_us,hdr_p90_us,hdr_p99_us,gb_real_time_us,hdr_p50_over_gb,hdr_mean_over_gb,gb_iterations,hdr_cfg,gb_cfg,hdr_name,gb_name,hdr_path,gb_path
epsilon,1000,oneshot,One-Shot Reference,traversal,8.151,9.0280335,8.767,11.823,12.98622795784746,0.6276649406169114,0.6952006024616595,54124,BT1024,BT1024,qleaf/gpu/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,1000,oneshot,One-Shot Reference,bitmask,16.879,18.38387136,17.311,26.783,20.0189167872915,0.8431525131627104,0.9183249800843637,35151,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,2000,oneshot,One-Shot Reference,traversal,8.823,9.75120834,9.431,11.471,13.645433529657208,0.6465899365398651,0.7146133040629721,51256,BT1024,BT1024,qleaf/gpu/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,2000,oneshot,One-Shot Reference,bitmask,17.759,19.503004,18.303,30.479,20.86842709496557,0.8509984925641231,0.9345699084673722,33482,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,5000,oneshot,One-Shot Reference,traversal,10.439,11.444961600000001,11.095,15.711,15.920096548176733,0.6557121037808994,0.7189002632845684,43657,BT1024,BT1024,qleaf/gpu/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
epsilon,5000,oneshot,One-Shot Reference,bitmask,19.743,21.5050072,20.367,32.431,23.588951084485974,0.8369596396757384,0.9116559326007274,29786,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
higgs,500,step0,Step 0: Naive Persistent,traversal,6.279,11.25147508,6.679,8.147,9.977077933162459,0.6293425832757558,1.127732503983117,68225,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,500,step0,Step 0: Naive Persistent,bitmask,10.935,19.93034792,11.327,15.495,16.348501147234153,0.6688686566138199,1.2190932820389975,43592,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,1000,step0,Step 0: Naive Persistent,traversal,6.675,12.32719852,7.111,7.631,11.432571419416446,0.5838581501151656,1.0782524829946978,62532,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
higgs,1000,step0,Step 0: Naive Persistent,bitmask,11.111,19.942818640000002,11.567,12.175,17.18174627090015,0.6466746641939497,1.1606980062193177,40496,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
