dataset,trees,step,label,kernel,hdr_p50_us,hdr_mean_us,hdr_p90_us,hdr_p99_us,gb_real_time_us,hdr_p50_over_gb,hdr_mean_over_gb,gb_iterations,hdr_cfg,gb_cfg,hdr_name,gb_name,hdr_path,gb_path
epsilon,500,step1,Step 1: Mapped Input,traversal,7.615,8.39322878,8.231,11.551,9.14454107886878,0.8327372510356758,0.9178403495168375,76645,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,500,step1,Step 1: Mapped Input,bitmask,17.375,19.24202124,18.223,30.751,18.738215451838062,0.9272494515103709,1.0268865404742968,37368,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,1000,step1,Step 1: Mapped Input,traversal,7.891,8.780001899999998,8.559,12.087,11.556705297349104,0.6828070628235238,0.7597322657361497,60824,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,1000,step1,Step 1: Mapped Input,bitmask,27.487,30.35756888,28.127,195.583,29.31039518185212,0.937790153611402,1.0357270412647404,22954,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,2000,step1,Step 1: Mapped Input,traversal,8.511,9.4505678,9.311,12.599,12.12159253264141,0.7021354642206713,0.7796473750912852,58736,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,2000,step1,Step 1: Mapped Input,bitmask,28.415,31.3818184,29.167,197.887,30.927402345875176,0.9187645209326719,1.0146929913169842,21822,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,5000,step1,Step 1: Mapped Input,traversal,14.935,16.551059000000002,16.735,27.167,19.03490375968282,0.7846112693058798,0.869511041871209,36388,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
epsilon,5000,step1,Step 1: Mapped Input,bitmask,37.471,41.70753584,39.711,238.335,40.20089547163036,0.9320936650887083,1.0374777812955154,16828,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
higgs,500,step2,Step 2: No Cross-Reduce,traversal,4.263,4.72474708,4.619,5.075,4.695509737404827,0.9078886507338237,1.0062266599858725,146497,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,500,step2,Step 2: No Cross-Reduce,bitmask,8.759,9.66952444,9.119,10.175,9.294379946635605,0.9423974541917235,1.0403625089052004,72018,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,1000,step2,Step 2: No Cross-Reduce,traversal,4.623,5.08392032,4.939,5.815,5.125221735559999,0.9020097546072073,0.9919415358610847,134692,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
higgs,1000,step2,Step 2: No Cross-Reduce,bitmask,9.015,10.12399068,9.583,12.415,9.581547934800883,0.9408709387401655,1.0566132684290945,74622,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
higgs,2000,step2,Step 2: No Cross-Reduce,traversal,6.191,6.8078053,6.735,9.095,6.573448153797064,0.9418192484600113,1.0356520871116268,107356,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,2000,step2,Step 2: No Cross-Reduce,bitmask,10.527,11.66868804,11.695,19.247,11.329196255580571,0.9291921300078614,1.029966096160811,59876,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,5000,step2,Step 2: No Cross-Reduce,traversal,17.823,19.5428206,20.127,32.111,17.628412874255634,1.0110382668668114,1.108597849358302,39179,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
higgs,5000,step2,Step 2: No Cross-Reduce,bitmask,27.903,30.69785936,31.359,56.159,28.02921936547671,0.9954968647599164,1.095209215773245,24466,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
epsilon,500,step2,Step 2: No Cross-Reduce,traversal,6.031,6.71693042,6.603,9.767,7.498210269865828,0.8043252700231248,0.8958044891051304,92562,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,500,step2,Step 2: No Cross-Reduce,bitmask,15.775,17.353672839999998,16.279,22.223,16.841044772294353,0.9366996058315734,1.0304392081748386,40963,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,1000,step2,Step 2: No Cross-Reduce,traversal,6.627,7.378743999999999,7.219,10.823,10.141105636584658,0.6534790423731207,0.7276074487756768,68376,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,1000,step2,Step 2: No Cross-Reduce,bitmask,25.999,28.6464596,26.559,193.535,27.877584317223075,0.9326130881411246,1.027580412779952,24052,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,2000,step2,Step 2: No Cross-Reduce,traversal,6.919,7.72229596,7.627,10.887,10.376527696144377,0.6667933823923492,0.7442080998703821,65009,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,2000,step2,Step 2: No Cross-Reduce,bitmask,26.655,29.45168136,27.311,195.583,28.853381464703244,0.9238085328961337,1.0207358675110112,23339,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,5000,step2,Step 2: No Cross-Reduce,traversal,10.583,11.946286319999999,12.711,23.327,13.886276873595023,0.7621193280485242,0.8602944063945644,47249,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
epsilon,5000,step2,Step 2: No Cross-Reduce,bitmask,32.479,35.836794000000005,33.855,203.903,35.08809127049541,0.9256416870789058,1.0213378015843841,19634,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
higgs,500,step3,Step 3: Single Poller,traversal,4.551,5.03613958,4.887,5.363,5.1044504799938295,0.8915749144471085,0.986617384131443,100000,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,500,step3,Step 3: Single Poller,bitmask,9.111,10.05594416,9.439,12.887,9.647130183789255,0.9444259408160418,1.042376745044625,67228,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n500/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n500/bt512/worker_bench_cuda.json
higgs,1000,step3,Step 3: Single Poller,traversal,4.655,5.13670868,5.063,6.367,5.176260513428451,0.89929785951148,0.9923589948137571,134661,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
higgs,1000,step3,Step 3: Single Poller,bitmask,9.151,9.92204088,9.455,13.391,10.007897548764866,0.9143778656216738,0.9914211083450328,70697,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n1000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n1000/bt512/worker_bench_cuda.json
higgs,2000,step3,Step 3: Single Poller,traversal,5.071,5.4854480400000005,5.403,6.047,5.528995960947825,0.9171647141392897,0.9921237198841506,126517,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,2000,step3,Step 3: Single Poller,bitmask,9.215,10.1004076,9.535,12.999,10.048887173491677,0.9170169632622189,1.0051269783030534,70019,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n2000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n2000/bt512/worker_bench_cuda.json
higgs,5000,step3,Step 3: Single Poller,traversal,6.303,6.9460418,6.667,10.047,7.1351282476017595,0.8833758527211544,0.9734992222928418,97647,BT512,BT512,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
higgs,5000,step3,Step 3: Single Poller,bitmask,17.791,19.47440832,18.239,28.671,19.067269898291652,0.933064885266768,1.0213527381675562,36058,BT512/TPT1,BT512/TPT1,qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/higgs/n5000/qleaf_gpu_ablation_bt512/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/higgs/n5000/bt512/worker_bench_cuda.json
epsilon,500,step3,Step 3: Single Poller,traversal,6.763,7.53632476,7.415,10.751,8.188337506060101,0.8259307820415043,0.92037300055383,86034,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,500,step3,Step 3: Single Poller,bitmask,16.559,18.227018039999997,17.103,29.647,17.74208374527976,0.933317655227813,1.0273324318429764,39859,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n500/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n500/bt1024/worker_bench_cuda.json
epsilon,1000,step3,Step 3: Single Poller,traversal,6.971,7.78966154,7.655,10.943,10.195326363562048,0.6837446641153397,0.7640423918002409,69156,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,1000,step3,Step 3: Single Poller,bitmask,26.479,29.23668016,27.007,194.559,28.465792689451074,0.9302042029489189,1.0270811875488224,23501,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n1000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n1000/bt1024/worker_bench_cuda.json
epsilon,2000,step3,Step 3: Single Poller,traversal,7.243,8.08938674,7.951,11.527,10.61016395340969,0.6826473211728631,0.7624186370277896,66464,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,2000,step3,Step 3: Single Poller,bitmask,26.911,29.703365280000003,27.471,195.839,30.136262294849566,0.8929773618475315,0.9856353448674507,23241,BT1024/TPT1,BT1024/TPT1,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n2000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n2000/bt1024/worker_bench_cuda.json
epsilon,5000,step3,Step 3: Single Poller,traversal,7.683,8.48305338,8.319,11.287,11.155714901537564,0.6887053019740645,0.7604222100396991,61463,BT1024,BT1024,qleaf/gpu/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time,bench/results/latency/ablation_hdr_100k_2026_06_19/gpu_ablation_path/epsilon/n5000/qleaf_gpu_ablation_bt1024/summary.json,bench/results/latency/full_regen_2026_06_18/gpu_worker_ablation/epsilon/n5000/bt1024/worker_bench_cuda.json
