dataset,trees,bt,step,kernel,real_time_us,name
higgs,2000,512,step3,traversal,5.528995960947825,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time
higgs,2000,512,step3,bitmask,10.048887173491677,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time
higgs,2000,512,step4,traversal,4.662320189535495,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:28/real_time
higgs,2000,512,step4,bitmask,9.922200851601009,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:28/real_time
higgs,2000,512,step5,bitmask,5.615788914134046,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8/nodestride:1/features:28/real_time
higgs,5000,512,oneshot,traversal,11.989119370016226,cuda/oneshot/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/features:28/real_time
higgs,5000,512,oneshot,bitmask,17.822037032256286,cuda/oneshot/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step0,traversal,36.70566944139646,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:28/real_time
higgs,5000,512,step0,bitmask,53.14942126816636,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step1,traversal,27.7108894550695,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:28/real_time
higgs,5000,512,step1,bitmask,38.160084003682265,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step2,traversal,17.628412874255634,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:28/real_time
higgs,5000,512,step2,bitmask,28.02921936547671,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step3,traversal,7.1351282476017595,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time
higgs,5000,512,step3,bitmask,19.067269898291652,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step4,traversal,6.528551690553938,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:28/real_time
higgs,5000,512,step4,bitmask,18.913638075215346,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step5,bitmask,12.16707266560097,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8/nodestride:1/features:28/real_time
epsilon,500,1024,oneshot,traversal,10.972688331158274,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
