n,mode,buffer,T,B,M,CR,time_us
4000,persistent,compact,0,0,0,0,50.147159961361474
5000,persistent,compact,0,0,0,0,47.52601823503868
500,persistent,compact,0,0,0,1,16.11140650056768
1000,persistent,compact,0,0,0,1,18.247467621367246
2000,persistent,compact,0,0,0,1,41.28835917053827
3000,persistent,compact,0,0,0,1,26.531118057340173
4000,persistent,compact,0,0,0,1,39.84068071794741
5000,persistent,compact,0,0,0,1,46.63728214974646
500,persistent,compact,0,0,1,0,7.335357042111482
1000,persistent,compact,0,0,1,0,9.216901640485743
2000,persistent,compact,0,0,1,0,13.021701717786737
3000,persistent,compact,0,0,1,0,17.04390766933035
4000,persistent,compact,0,0,1,0,27.43494740604019
5000,persistent,compact,0,0,1,0,32.5374227165621
500,persistent,compact,0,0,1,1,9.098727195564305
1000,persistent,compact,0,0,1,1,11.600424404519254
2000,persistent,compact,0,0,1,1,17.78000130197356
3000,persistent,compact,0,0,1,1,22.85123569552517
4000,persistent,compact,0,0,1,1,38.65817381819462
5000,persistent,compact,0,0,1,1,45.11112878886033
500,persistent,compact,0,1,0,0,15.132092414200004
1000,persistent,compact,0,1,0,0,32.18152139386799
2000,persistent,compact,0,1,0,0,28.034360880774155
3000,persistent,compact,0,1,0,0,28.788513122985798
4000,persistent,compact,0,1,0,0,55.84946969099026
5000,persistent,compact,0,1,0,0,37.1447100628619
500,persistent,compact,0,1,0,1,18.571646253316544
1000,persistent,compact,0,1,0,1,20.70681394403164
2000,persistent,compact,0,1,0,1,35.62057779468848
3000,persistent,compact,0,1,0,1,36.11080033600957
4000,persistent,compact,0,1,0,1,45.860694544704174
5000,persistent,compact,0,1,0,1,62.2424529313867
500,persistent,compact,0,1,1,0,11.317813816898195
1000,persistent,compact,0,1,1,0,13.616217464639112
2000,persistent,compact,0,1,1,0,16.045392044315175
3000,persistent,compact,0,1,1,0,23.492078209485374
4000,persistent,compact,0,1,1,0,30.517563134230507
5000,persistent,compact,0,1,1,0,33.89155726887316
500,persistent,compact,0,1,1,1,13.011532277671686
1000,persistent,compact,0,1,1,1,15.78974632164444
2000,persistent,compact,0,1,1,1,21.940248318238485
3000,persistent,compact,0,1,1,1,27.884233677882246
4000,persistent,compact,0,1,1,1,43.92190737330651
5000,persistent,compact,0,1,1,1,52.09090929447812
500,persistent,compact,1,0,0,0,10.18452369223445
1000,persistent,compact,1,0,0,0,14.091603299797749
2000,persistent,compact,1,0,0,0,20.43856990057975
3000,persistent,compact,1,0,0,0,17.52353589902064
4000,persistent,compact,1,0,0,0,29.140090705675792
5000,persistent,compact,1,0,0,0,54.898562355627845
500,persistent,compact,1,0,0,1,9.127526828945333
1000,persistent,compact,1,0,0,1,21.0401603066735
2000,persistent,compact,1,0,0,1,31.65212298095608
3000,persistent,compact,1,0,0,1,23.782232069720152
4000,persistent,compact,1,0,0,1,42.16678271242319
5000,persistent,compact,1,0,0,1,49.5148327561177
500,persistent,compact,1,0,1,0,7.148575378718457
1000,persistent,compact,1,0,1,0,9.025518896331613
2000,persistent,compact,1,0,1,0,12.77246621875405
3000,persistent,compact,1,0,1,0,16.413859341178185
4000,persistent,compact,1,0,1,0,23.141361094642612
5000,persistent,compact,1,0,1,0,24.63127079915846
500,persistent,compact,1,0,1,1,8.864086285614421
1000,persistent,compact,1,0,1,1,11.472190708836777
2000,persistent,compact,1,0,1,1,16.899493990562263
3000,persistent,compact,1,0,1,1,22.52300896759774
4000,persistent,compact,1,0,1,1,40.084109608080006
5000,persistent,compact,1,0,1,1,43.416814986397604
500,persistent,compact,1,1,0,0,12.801167223322627
1000,persistent,compact,1,1,0,0,23.886876951471606
2000,persistent,compact,1,1,0,0,15.355343893311952
3000,persistent,compact,1,1,0,0,21.119701466684123
4000,persistent,compact,1,1,0,0,51.526372676754605
5000,persistent,compact,1,1,0,0,32.21640785624797
500,persistent,compact,1,1,0,1,16.408017498906702
1000,persistent,compact,1,1,0,1,26.287329967789212
2000,persistent,compact,1,1,0,1,37.993946808478015
3000,persistent,compact,1,1,0,1,36.073044963631446
4000,persistent,compact,1,1,0,1,40.063635100200756
5000,persistent,compact,1,1,0,1,55.04223481416354
500,persistent,compact,1,1,1,0,9.682224383546576
1000,persistent,compact,1,1,1,0,11.289245265484597
2000,persistent,compact,1,1,1,0,15.026567483914798
3000,persistent,compact,1,1,1,0,18.38989230006575
4000,persistent,compact,1,1,1,0,27.749145239320246
5000,persistent,compact,1,1,1,0,29.244788837926215
500,persistent,compact,1,1,1,1,11.134278092745639
1000,persistent,compact,1,1,1,1,13.454916898115505
2000,persistent,compact,1,1,1,1,19.443718972689055
3000,persistent,compact,1,1,1,1,24.054971639926485
4000,persistent,compact,1,1,1,1,39.46639914806306
5000,persistent,compact,1,1,1,1,47.086881761817736
500,persistent,tree,0,0,0,0,11.295721601798782
1000,persistent,tree,0,0,0,0,13.177233645189217
2000,persistent,tree,0,0,0,0,19.688693899661303
3000,persistent,tree,0,0,0,0,20.601315501424374
4000,persistent,tree,0,0,0,0,23.642139678965208
5000,persistent,tree,0,0,0,0,28.95366864813298
500,persistent,tree,0,0,0,1,13.327312508130658
1000,persistent,tree,0,0,0,1,19.460587181568428
2000,persistent,tree,0,0,0,1,34.80959029655406
3000,persistent,tree,0,0,0,1,23.855597713993316
4000,persistent,tree,0,0,0,1,55.16729997264059
5000,persistent,tree,0,0,0,1,47.48191002475806
500,persistent,tree,0,0,1,0,7.147759851818584
1000,persistent,tree,0,0,1,0,9.362104294705684
2000,persistent,tree,0,0,1,0,13.205306291121056
3000,persistent,tree,0,0,1,0,16.509582819512307
4000,persistent,tree,0,0,1,0,23.818975744500488
5000,persistent,tree,0,0,1,0,25.366476105079776
500,persistent,tree,0,0,1,1,9.085019259603213
1000,persistent,tree,0,0,1,1,11.982063653878654
2000,persistent,tree,0,0,1,1,18.2135793961073
3000,persistent,tree,0,0,1,1,21.870940565167516
4000,persistent,tree,0,0,1,1,39.19736871938021
5000,persistent,tree,0,0,1,1,46.691428906130824
500,persistent,tree,0,1,0,0,16.31103523827972
1000,persistent,tree,0,1,0,0,16.517007405640175
2000,persistent,tree,0,1,0,0,30.413735192696187
3000,persistent,tree,0,1,0,0,29.887245529988753
4000,persistent,tree,0,1,0,0,32.6535200627417
5000,persistent,tree,0,1,0,0,37.19351055446139
500,persistent,tree,0,1,0,1,17.89414715979767
1000,persistent,tree,0,1,0,1,37.48581261416377
2000,persistent,tree,0,1,0,1,32.319941203133105
3000,persistent,tree,0,1,0,1,30.184197313480983
4000,persistent,tree,0,1,0,1,54.46215314338338
5000,persistent,tree,0,1,0,1,53.64751108952647
500,persistent,tree,0,1,1,0,11.297315988082847
1000,persistent,tree,0,1,1,0,13.244059462211142
2000,persistent,tree,0,1,1,0,17.942140506562275
3000,persistent,tree,0,1,1,0,23.109534284062228
4000,persistent,tree,0,1,1,0,31.484764734315704
5000,persistent,tree,0,1,1,0,33.93977347750254
500,persistent,tree,0,1,1,1,13.194722612290215
1000,persistent,tree,0,1,1,1,15.73816899966064
2000,persistent,tree,0,1,1,1,21.325899545487015
3000,persistent,tree,0,1,1,1,27.264712947866176
4000,persistent,tree,0,1,1,1,44.53440067674317
5000,persistent,tree,0,1,1,1,53.46037772734047
500,persistent,tree,1,0,0,0,8.934066575133695
1000,persistent,tree,1,0,0,0,11.499916755540962
