dataset,trees,bt,step,kernel,real_time_us,name
higgs,2000,512,step3,traversal,5.624212573987822,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time
higgs,2000,512,step3,bitmask,10.114347662468566,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time
higgs,2000,512,step4,traversal,5.178730943974359,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:28/real_time
higgs,2000,512,step4,bitmask,9.56470526474173,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:28/real_time
higgs,2000,512,step5,bitmask,6.341902131027448,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8/nodestride:1/features:28/real_time
higgs,5000,512,oneshot,traversal,14.408968046315554,cuda/oneshot/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/features:28/real_time
higgs,5000,512,oneshot,bitmask,19.931934672071865,cuda/oneshot/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step0,traversal,29.49988698679349,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:28/real_time
higgs,5000,512,step0,bitmask,39.70470440953138,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step1,traversal,27.4214601739527,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:28/real_time
higgs,5000,512,step1,bitmask,37.23043186149118,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step2,traversal,18.2014120674858,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:28/real_time
higgs,5000,512,step2,bitmask,27.300266526875195,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step3,traversal,7.50638386644297,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:28/real_time
higgs,5000,512,step3,bitmask,18.767961007145395,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step4,traversal,7.0367231832382675,cuda/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:28/real_time
higgs,5000,512,step4,bitmask,18.381489575650285,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:28/real_time
higgs,5000,512,step5,bitmask,13.111818515944412,cuda/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:4/nodestride:1/features:28/real_time
epsilon,500,1024,oneshot,traversal,13.091470837791425,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
epsilon,500,1024,oneshot,bitmask,16.651005607593987,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step0,traversal,12.846904447323306,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,500,1024,step0,bitmask,21.714619159051527,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step1,traversal,10.76410021079408,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,500,1024,step1,bitmask,19.68193470673092,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step2,traversal,9.197243817599658,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,500,1024,step2,bitmask,18.18539274460788,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step3,traversal,10.132845581239723,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,500,1024,step3,bitmask,18.989196727653347,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step4,traversal,7.831020791035474,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
epsilon,500,1024,step4,bitmask,16.84238544200188,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,500,1024,step5,bitmask,9.661416425857393,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:16/nodestride:1/features:2000/real_time
epsilon,1000,1024,oneshot,traversal,14.915584872983832,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
epsilon,1000,1024,oneshot,bitmask,21.286761147330665,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step0,traversal,14.506829310029083,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,1000,1024,step0,bitmask,31.69457973216233,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step1,traversal,12.95704175664025,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,1000,1024,step1,bitmask,30.279964345226638,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step2,traversal,11.639387091273246,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,1000,1024,step2,bitmask,28.39120193318848,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step3,traversal,11.935532394227385,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,1000,1024,step3,bitmask,29.105730279240166,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step4,traversal,9.519637256293258,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
epsilon,1000,1024,step4,bitmask,26.893452058122328,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,1000,1024,step5,bitmask,10.065986573189647,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8/nodestride:1/features:2000/real_time
epsilon,2000,1024,oneshot,traversal,15.665799852429446,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
epsilon,2000,1024,oneshot,bitmask,22.070074882890616,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step0,traversal,15.411932190044594,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,2000,1024,step0,bitmask,32.993435918745455,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step1,traversal,13.345153134193518,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,2000,1024,step1,bitmask,31.440846374311572,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step2,traversal,11.899594903847536,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,2000,1024,step2,bitmask,29.552586895110878,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step3,traversal,12.152736882123175,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,2000,1024,step3,bitmask,29.84285338644355,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step4,traversal,10.81383509555316,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
epsilon,2000,1024,step4,bitmask,27.819209462058797,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,2000,1024,step5,bitmask,11.58114996044154,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8/nodestride:1/features:2000/real_time
epsilon,5000,1024,oneshot,traversal,17.445307865836945,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/features:2000/real_time
epsilon,5000,1024,oneshot,bitmask,24.460799517760055,cuda/oneshot/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step0,traversal,20.478072635106805,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:0/crossreduce:1/features:2000/real_time
epsilon,5000,1024,step0,bitmask,41.396451339428836,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:0/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step1,traversal,19.00999239780089,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:1/features:2000/real_time
epsilon,5000,1024,step1,bitmask,40.25511789983866,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step2,traversal,14.82988357388781,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/features:2000/real_time
epsilon,5000,1024,step2,bitmask,35.2365212151997,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step3,traversal,12.811385098849028,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/features:2000/real_time
epsilon,5000,1024,step3,bitmask,33.98292521939263,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:1/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step4,traversal,10.900912356736892,cuda/persistent/compact/bt:1024/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/features:2000/real_time
epsilon,5000,1024,step4,bitmask,32.817955554930705,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:1/nodestride:1/features:2000/real_time
epsilon,5000,1024,step5,bitmask,16.042933943103677,cuda/persistent/compact/bt:1024/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:2/nodestride:1/features:2000/real_time
