# Latency Sweep Summary

| dataset | trees | family | p50 us | p99 us | mean us | best config |
| higgs | 1000 | qleaf GPU traversal SP | 3.945 | 7.175 | 4.604 | `qleaf/gpu/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0` |
| higgs | 2000 | FIL GPU | 669.183 | 1364.991 | 733.013 | `fil/gpu/input:device/output:device_sync` |
| higgs | 2000 | Treelite | 124.607 | 172.031 | 126.326 | `treelite/tl2cgen-lib/threads:1` |
| higgs | 2000 | XGBoost sklearn | 302.335 | 421.375 | 317.851 | `xgboost/sklearn/threads:4/output:margin` |
| higgs | 2000 | qleaf CPU bitmask | 43.487 | 52.895 | 43.265 | `qleaf/cpu/compact/bitmask/threads:16` |
| higgs | 2000 | qleaf CPU traversal | 7.927 | 20.015 | 9.386 | `qleaf/cpu/compact/branch/threads:8` |
| higgs | 2000 | qleaf GPU bitmask | 5.391 | 8.823 | 6.146 | `qleaf/gpu/persistent/compact/bt:256/transposed:0/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8` |
| higgs | 2000 | qleaf GPU traversal SP | 3.991 | 6.783 | 4.573 | `qleaf/gpu/persistent/compact/bt:256/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0` |
| higgs | 5000 | FIL GPU | 1592.319 | 2742.271 | 1724.490 | `fil/gpu/input:device/output:device_sync` |
| higgs | 5000 | Treelite | 376.063 | 695.295 | 392.909 | `treelite/tl2cgen-lib/threads:4` |
| higgs | 5000 | XGBoost sklearn | 706.559 | 1612.799 | 827.028 | `xgboost/sklearn/threads:16/output:margin` |
| higgs | 5000 | qleaf CPU bitmask | 109.695 | 158.335 | 108.150 | `qleaf/cpu/compact/bitmask/threads:16` |
| higgs | 5000 | qleaf CPU traversal | 7.347 | 10.591 | 7.832 | `qleaf/cpu/compact/branch/threads:16` |
| higgs | 5000 | qleaf GPU bitmask | 12.239 | 16.511 | 13.901 | `qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:1/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0/tpt:8` |
| higgs | 5000 | qleaf GPU traversal SP | 6.507 | 8.111 | 7.064 | `qleaf/gpu/persistent/compact/bt:512/transposed:1/bitmask:0/cached:0/mapped:1/crossreduce:0/sp:1/stage:1/seqflag:0` |
